day	hour	data
7	8	200
7	10	202
7	11	101
7	12	174
7	13	108
7	14	86
7	16	86
7	17	98
7	18	48
6	7	76
6	8	109
6	9	50
6	10	46
6	11	135
6	12	214
6	13	149
6	14	43
6	15	54
6	16	180
6	17	151
6	18	109
5	7	136
5	8	76
5	10	140
5	11	153
5	12	286
5	13	192
5	14	68
5	15	94
5	16	235
5	17	302
5	18	172
5	21	180
4	7	72
4	8	42
4	10	112
4	11	166
4	12	246
4	13	143
4	14	62
4	16	137
4	17	216
4	18	201
3	7	201
3	8	130
3	9	18
3	10	13
3	11	128
3	12	183
3	13	102
3	14	57
3	16	144
3	17	146
3	18	140
2	7	48
2	8	20
2	10	67
2	11	113
2	12	137
2	13	82
2	14	48
2	16	61
2	17	98
2	18	100
1	11	84
1	12	162
1	13	118
1	14	172
1	16	50
1	17	120
1	18	33
